Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,B,0,0,0,0,0,0,567.4118,0,0,165.2271,185.7082,2.340697,0,0,0,0,0,0,89.9999,89.9999,0,0
0.01,B,0.01,0.01,0,0.6798307,0,1360.324,567.4118,0,0,165.201,185.7082,2.343674,44.9605586,44.9605586,0.000134625,0.4496056,0.4496056,1.34625E-06,89.9999,89.9999,0.002248028,6.73126E-09
0.02,B,0.02,0.01,0,0.6798307,0,2706.153,567.3804,5.97275E-05,0,165.175,185.7082,2.346651,121.2817073,121.2817073,0.000267831,1.662423,1.662423,4.02456E-06,89.9999,89.9999,0.01280817,3.35853E-08
0.03,B,0.03,0.01,0,0.6798308,0,2707.059,567.2861,0.00081657,0,165.1489,185.7082,2.349628,121.3585459,121.3585459,0.000267965,2.876009,2.876009,6.70421E-06,89.9999,89.9999,0.03550033,8.72292E-08
0.04,B,0.04,0.01,0,0.6798309,0,2707.965,567.1604,0.002443942,0,165.1229,185.7082,2.352606,121.4439155,121.4439155,0.000268114,4.090448,4.090448,9.38535E-06,89.9999,89.9999,0.07033262,1.67677E-07
0.05,B,0.05,0.01,0,0.679831,0,2708.872,567.0347,0.004943696,0,165.0968,185.7082,2.355583,121.5292596,121.5292596,0.000268263,5.30574,5.30574,1.2068E-05,89.9999,89.9999,0.1173135,2.74944E-07
0.05999999,B,0.05999999,0.01,0,0.6798311,0,2709.778,566.9089,0.008317665,0,165.0708,185.7082,2.35856,121.6146225,121.6146225,0.000268412,6.521886,6.521886,1.47521E-05,89.9999,89.9999,0.1764517,4.09044E-07
0.06999999,B,0.06999999,0.01,0,0.6798313,0,2710.685,566.7831,0.01256768,0,165.0447,185.7082,2.361537,121.6999603,121.6999603,0.000268561,7.738885,7.738885,1.74377E-05,89.9999,89.9999,0.2477555,5.69993E-07
0.07999999,B,0.07999999,0.01,0,0.6798316,0,2711.581,566.6572,0.01769559,0,165.0187,185.7082,2.364515,121.7847615,121.7847615,0.000268709,8.956733,8.956733,2.01248E-05,89.9999,89.9999,0.3312336,7.57805E-07
0.08999999,B,0.08999999,0.01,0,0.6798318,0,2712.478,566.5313,0.02370317,0,164.9926,185.7082,2.367492,121.8695671,121.8695671,0.000268857,10.17543,10.17543,2.28134E-05,89.9999,89.9999,0.4268944,9.72496E-07
0.09999999,B,0.09999999,0.01,0,0.6798322,0,2713.375,566.4053,0.03059228,0,164.9666,185.7082,2.370469,121.9543909,121.9543909,0.000269005,11.39497,11.39497,2.55034E-05,89.9999,89.9999,0.5347464,1.21408E-06
0.11,B,0.11,0.01,0,0.6798325,0,2714.272,566.2794,0.03836468,0,164.9405,185.7082,2.373446,122.0392022,122.0392022,0.000269153,12.61536,12.61536,2.81949E-05,89.9999,89.9999,0.654798,1.48257E-06
0.12,B,0.12,0.01097637,0,0.6707734,0,2715.169,566.1533,0.04639562,0,164.9145,185.7082,2.376424,122.1240533,122.1240533,0.000269301,13.8366,13.8366,3.0888E-05,89.9999,89.9999,0.7870578,1.77799E-06
0.13,B,0.13,0.01203895,0,0.6614989,0,2716.056,566.0272,0.05504122,0,164.8884,185.7082,2.379401,122.2083556,122.2083556,0.000269448,15.05868,15.05868,3.35824E-05,89.9999,89.9999,0.9315342,2.10034E-06
0.14,B,0.14,0.01310226,0,0.652802,0,2716.943,565.9011,0.06433592,0,164.8624,185.7082,2.382378,122.2926718,122.2926718,0.000269595,16.28161,16.28161,3.62784E-05,89.9999,89.9999,1.088236,2.44964E-06
0.15,B,0.15,0.01416632,0,0.6446447,0,2717.831,565.775,0.07426967,0,164.8363,185.7082,2.385355,122.3770061,122.3770061,0.000269742,17.50538,17.50538,3.89758E-05,89.9999,89.9999,1.257171,2.82591E-06
0.16,B,0.16,0.01523111,0,0.636985,0,2718.718,565.6487,0.08483335,0,164.8103,185.7082,2.388333,122.4613866,122.4613866,0.00026989,18.72999,18.72999,4.16747E-05,89.9999,89.9999,1.438347,3.22917E-06
0.17,B,0.17,0.01629663,0,0.6297812,0,2719.606,565.5225,0.09601892,0,164.7842,185.7082,2.39131,122.5457556,122.5457556,0.000270037,19.95545,19.95545,4.43751E-05,89.9999,89.9999,1.631775,3.65941E-06
0.18,B,0.18,0.01736289,0,0.622994,0,2720.483,565.3962,0.1078193,0,164.7582,185.7082,2.394287,122.6295744,122.6295744,0.000270183,21.18175,21.18175,4.70769E-05,89.9999,89.9999,1.837461,4.11667E-06
0.19,B,0.19,0.01842988,0,0.6165872,0,2721.361,565.2699,0.1202279,0,164.7321,185.7082,2.397264,122.7134273,122.7134273,0.00027033,22.40888,22.40888,4.97802E-05,89.9999,89.9999,2.055414,4.60096E-06
0.2,B,0.2,0.0194976,0,0.6105279,0,2722.239,565.1436,0.1332387,0,164.7061,185.7082,2.400242,122.7972967,122.7972967,0.000270476,23.63685,23.63685,5.2485E-05,89.9999,89.9999,2.285642,5.11229E-06
0.21,B,0.21,0.02056605,0,0.6047864,0,2723.117,565.0172,0.1468462,0,164.68,185.7082,2.403219,122.8811726,122.8811726,0.000270622,24.86566,24.86566,5.51912E-05,89.9999,89.9999,2.528155,5.65067E-06
0.22,B,0.22,0.02163524,0,0.5993363,0,2723.995,564.8907,0.1610457,0,164.654,185.7082,2.406196,122.9650831,122.9650831,0.000270769,26.09531,26.09531,5.78989E-05,89.9999,89.9999,2.78296,6.21612E-06
0.23,B,0.23,0.02270516,0,0.5941538,0,2724.863,564.7642,0.1758325,0,164.6279,185.7082,2.409173,123.0484274,123.0484274,0.000270914,27.32579,27.32579,6.0608E-05,89.9999,89.9999,3.050065,6.80865E-06
0.24,B,0.24,0.0237758,0,0.5892175,0,2725.73,564.6377,0.1912023,0,164.6019,185.7082,2.412151,123.1317793,123.1317793,0.00027106,28.55711,28.55711,6.33186E-05,89.9999,89.9999,3.32948,7.42828E-06
0.25,B,0.25,0.02484718,0,0.5845082,0,2726.599,564.5111,0.2071513,0,164.5758,185.7082,2.415128,123.2151937,123.2151937,0.000271205,29.78926,29.78926,6.60307E-05,89.9999,89.9999,3.621212,8.07503E-06
0.26,B,0.26,0.02591928,0,0.5800087,0,2727.467,564.3845,0.2236757,0,164.5498,185.7082,2.418105,123.2986127,123.2986127,0.000271351,31.02225,31.02225,6.87442E-05,89.9999,89.9999,3.925269,8.7489E-06
0.27,B,0.27,0.02699212,0,0.5757036,0,2728.335,564.2579,0.2407725,0,164.5237,185.7082,2.421082,123.3820395,123.3820395,0.000271496,32.25607,32.25607,7.14591E-05,89.9999,89.9999,4.241661,9.44992E-06
0.28,B,0.28,0.02806568,0,0.5715789,0,2729.194,564.1312,0.2584381,0,164.4977,185.7082,2.42406,123.4649178,123.4649178,0.000271641,33.49072,33.49072,7.41756E-05,89.9999,89.9999,4.570395,1.01781E-05
0.29,B,0.29,0.02913997,0,0.567622,0,2730.052,564.0045,0.2766695,0,164.4716,185.7082,2.427037,123.5478144,123.5478144,0.000271786,34.7262,34.7262,7.68934E-05,89.9999,89.9999,4.911479,1.09334E-05
0.3,B,0.3,0.03021498,0,0.5638214,0,2730.911,563.8777,0.2954644,0,164.4456,185.7082,2.430014,123.6307471,123.6307471,0.000271931,35.96251,35.96251,7.96127E-05,89.9999,89.9999,5.264923,1.1716E-05
0.31,B,0.31,0.03129072,0,0.5601668,0,2731.77,563.7509,0.3148198,0,164.4195,185.7082,2.432992,123.713702,123.713702,0.000272075,37.19965,37.19965,8.23335E-05,89.9999,89.9999,5.630733,1.25257E-05
0.32,B,0.32,0.03236719,0,0.5566487,0,2732.628,563.624,0.3347333,0,164.3935,185.7082,2.435969,123.7966624,123.7966624,0.00027222,38.43761,38.43761,8.50557E-05,89.9999,89.9999,6.00892,1.33627E-05
0.33,B,0.33,0.03344437,0,0.5532585,0,2733.477,563.4971,0.3552028,0,164.3674,185.7082,2.438946,123.8790604,123.8790604,0.000272364,39.6764,39.6764,8.77793E-05,89.9999,89.9999,6.39949,1.42268E-05
0.3399999,B,0.3399999,0.03452228,0,0.5499883,0,2734.326,563.3702,0.3762257,0,164.3414,185.7082,2.441923,123.9615083,123.9615083,0.000272508,40.91602,40.91602,9.05044E-05,89.9999,89.9999,6.802452,1.51182E-05
0.3499999,B,0.3499999,0.03560092,0,0.546831,0,2735.175,563.2432,0.3978005,0,164.3153,185.7082,2.444901,124.0439619,124.0439619,0.000272652,42.15646,42.15646,9.32309E-05,89.9999,89.9999,7.217814,1.60369E-05
0.3599999,B,0.3599999,0.03668027,0,0.5437798,0,2736.024,563.1162,0.4199251,0,164.2893,185.7082,2.447878,124.1264522,124.1264522,0.000272796,43.39772,43.39772,9.59589E-05,89.9999,89.9999,7.645586,1.69829E-05
0.3699999,B,0.3699999,0.03776034,0,0.5408288,0,2736.873,562.9891,0.4425972,0,164.2632,185.7082,2.450855,124.2089379,124.2089379,0.00027294,44.63981,44.63981,9.86883E-05,89.9999,89.9999,8.085773,1.79561E-05
0.3799999,B,0.3799999,0.03884114,0,0.5379723,0,2737.712,562.8621,0.4658157,0,164.2372,185.7082,2.453832,124.290885,124.290885,0.000273083,45.88272,45.88272,0.000101419,89.9999,89.9999,8.538386,1.89566E-05
0.3899999,B,0.3899999,0.03992265,0,0.5352051,0,2738.551,562.7349,0.4895787,0,164.2111,185.7082,2.45681,124.372855,124.372855,0.000273226,47.12645,47.12645,0.000104151,89.9999,89.9999,9.003432,1.99845E-05
0.3999999,B,0.3999999,0.04100489,0,0.5325225,0,2739.39,562.6078,0.5138847,0,164.1851,185.7082,2.459787,124.4548175,124.4548175,0.000273369,48.371,48.371,0.000106885,89.9999,89.9999,9.48092,2.10397E-05
0.4099999,B,0.4099999,0.04208784,0,0.52992,0,2740.229,562.4806,0.5387319,0,164.159,185.7082,2.462764,124.5368167,124.5368167,0.000273512,49.61637,49.61637,0.00010962,89.9999,89.9999,9.970857,2.21222E-05
0.4199999,B,0.4199999,0.04317151,0,0.5273936,0,2741.069,562.3533,0.5641195,0,164.1329,185.7082,2.465741,124.6188671,124.6188671,0.000273655,50.86256,50.86256,0.000112357,89.9999,89.9999,10.47325,2.32321E-05
0.4299999,B,0.4299999,0.04425591,0,0.5249394,0,2741.898,562.2261,0.5900456,0,164.1069,185.7082,2.468719,124.700323,124.700323,0.000273797,52.10956,52.10956,0.000115095,89.9999,89.9999,10.98811,2.43693E-05
0.4399998,B,0.4399998,0.045341,0,0.522554,0,2742.727,562.0988,0.6165093,0,164.0809,185.7082,2.471696,124.7818026,124.7818026,0.00027394,53.35738,53.35738,0.000117834,89.9999,89.9999,11.51545,2.5534E-05
0.4499998,B,0.4499998,0.04642683,0,0.5202338,0,2743.557,561.9714,0.643509,0,164.0548,185.7082,2.474673,124.8633331,124.8633331,0.000274082,54.60601,54.60601,0.000120575,89.9999,89.9999,12.05526,2.6726E-05
0.4599998,B,0.4599998,0.04751335,0,0.517976,0,2744.386,561.844,0.6710438,0,164.0287,185.7082,2.47765,124.94487,124.94487,0.000274224,55.85546,55.85546,0.000123317,89.9999,89.9999,12.60757,2.79455E-05
0.4699998,B,0.4699998,0.04860061,0,0.5157776,0,2745.216,561.7166,0.6991128,0,164.0027,185.7082,2.480628,125.0264304,125.0264304,0.000274367,57.10572,57.10572,0.000126061,89.9999,89.9999,13.17238,2.91924E-05
0.4799998,B,0.4799998,0.04968857,0,0.513636,0,2746.036,561.5891,0.7277148,0,163.9767,185.7082,2.483605,125.1074241,125.1074241,0.000274508,58.3568,58.3568,0.000128806,89.9999,89.9999,13.74969,3.04667E-05
0.4899998,B,0.4899998,0.05077725,0,0.5115485,0,2746.855,561.4616,0.7568487,0,163.9506,185.7082,2.486582,125.188441,125.188441,0.000274649,59.60868,59.60868,0.000131553,89.9999,89.9999,14.33952,3.17685E-05
0.4999998,B,0.4999998,0.05186663,0,0.509513,0,2747.675,561.334,0.7865135,0,163.9245,185.7082,2.489559,125.2694814,125.2694814,0.000274791,60.86137,60.86137,0.0001343,89.9999,89.9999,14.94187,3.30978E-05
0.5099998,B,0.5099998,0.05295672,0,0.5075269,0,2748.495,561.2064,0.8167087,0,163.8985,185.7082,2.492537,125.3505598,125.3505598,0.000274932,62.11488,62.11488,0.00013705,89.9999,89.9999,15.55675,3.44545E-05
0.5199998,B,0.5199998,0.05404754,0,0.5055884,0,2749.315,561.0788,0.8474329,0,163.8724,185.7082,2.495514,125.4316444,125.4316444,0.000275074,63.36919,63.36919,0.0001398,89.9999,89.9999,16.18417,3.58388E-05
0.5299998,B,0.5299998,0.05513905,0,0.5036955,0,2750.125,560.9512,0.8786858,0,163.8464,185.7082,2.498491,125.5121755,125.5121755,0.000275214,64.62431,64.62431,0.000142553,89.9999,89.9999,16.82413,3.72505E-05
0.5399998,B,0.5399998,0.05623128,0,0.5018463,0,2750.935,560.8235,0.9104663,0,163.8203,185.7082,2.501468,125.5927025,125.5927025,0.000275355,65.88024,65.88024,0.000145306,89.9999,89.9999,17.47666,3.86898E-05
0.5499998,B,0.5499998,0.05732422,0,0.5000391,0,2751.744,560.6957,0.9427737,0,163.7943,185.7082,2.504446,125.6732669,125.6732669,0.000275495,67.13697,67.13697,0.000148061,89.9999,89.9999,18.14174,4.01567E-05
0.5599998,B,0.5599998,0.05841786,0,0.4982721,0,2752.554,560.5679,0.9756068,0,163.7682,185.7082,2.507423,125.7538692,125.7538692,0.000275636,68.39451,68.39451,0.000150817,89.9999,89.9999,18.8194,4.16511E-05
0.5699998,B,0.5699998,0.05951222,0,0.4965439,0,2753.365,560.4401,1.008966,0,163.7422,185.7082,2.5104,125.8344642,125.8344642,0.000275777,69.65285,69.65285,0.000153575,89.9999,89.9999,19.50964,4.3173E-05
0.5799997,B,0.5799997,0.06060727,0,0.494853,0,2754.165,560.3123,1.04285,0,163.7161,185.7082,2.513378,125.9145222,125.9145222,0.000275917,70.91199,70.91199,0.000156334,89.9999,89.9999,20.21246,4.47226E-05
0.5899997,B,0.5899997,0.06170303,0,0.4931981,0,2754.965,560.1844,1.077258,0,163.6901,185.7082,2.516355,125.9946007,125.9946007,0.000276056,72.17194,72.17194,0.000159095,89.9999,89.9999,20.92788,4.62997E-05
0.5999997,B,0.5999997,0.06279951,0,0.4915776,0,2755.765,560.0565,1.11219,0,163.664,185.7082,2.519332,126.074675,126.074675,0.000276196,73.43269,73.43269,0.000161857,89.9999,89.9999,21.65591,4.79045E-05
0.6099997,B,0.6099997,0.06389669,0,0.4899904,0,2756.565,559.9285,1.147646,0,163.638,185.7082,2.522309,126.1547871,126.1547871,0.000276336,74.69424,74.69424,0.00016462,89.9999,89.9999,22.39654,4.95369E-05
0.6199997,B,0.6199997,0.06499457,0,0.4884354,0,2757.365,559.8005,1.183623,0,163.6119,185.7082,2.525287,126.2349339,126.2349339,0.000276476,75.95659,75.95659,0.000167385,89.9999,89.9999,23.1498,5.11969E-05
0.6299997,B,0.6299997,0.06609316,0,0.4869114,0,2758.156,559.6724,1.220123,0,163.5859,185.7082,2.528264,126.3144873,126.3144873,0.000276615,77.21973,77.21973,0.000170151,89.9999,89.9999,23.91568,5.28846E-05
0.6399997,B,0.6399997,0.06719244,0,0.4854174,0,2758.946,559.5443,1.257144,0,163.5598,185.7082,2.531241,126.3940924,126.3940924,0.000276754,78.48367,78.48367,0.000172919,89.9999,89.9999,24.69419,5.45999E-05
0.6499997,B,0.6499997,0.06829243,0,0.4839522,0,2759.736,559.4162,1.294687,0,163.5338,185.7082,2.534218,126.4789014,126.4789014,0.00035025,79.74845899,79.74845899,0.000176421,89.99987,89.99987,25.49168,5.63466E-05
0.6599997,B,0.6599997,0.06939317,0,0.4825149,0,2760.526,559.2881,1.33275,0,163.5077,185.7082,2.537196,126.5584815,126.5584815,0.000351843,81.01404377,81.01404377,0.00017994,89.99987,89.99987,26.30182,5.81284E-05
0.6699997,B,0.6699997,0.0704946,0,0.4811046,0,2761.317,559.1599,1.371335,0,163.4817,185.7082,2.540173,126.6381193,126.6381193,0.00035342,82.28042494,82.28042494,0.000183474,89.99987,89.99987,27.12462,5.99455E-05
0.6799996,B,0.6799996,0.07159673,0,0.4797204,0,2762.097,559.0317,1.41044,0,163.4556,185.7082,2.54315,126.7171848,126.7171848,0.000354981,83.54759676,83.54759676,0.000187024,89.99987,89.99987,27.9601,6.1798E-05
0.6899996,B,0.6899996,0.07269958,0,0.4783615,0,2762.878,558.9034,1.450064,0,163.4296,185.7082,2.546127,126.7962881,126.7962881,0.000356528,84.81555961,84.81555961,0.000190589,89.99987,89.99987,28.80825,6.3686E-05
0.6999996,B,0.6999996,0.0738031,0,0.4770272,0,2763.658,558.7751,1.490207,0,163.4035,185.7082,2.549105,126.8753954,126.8753954,0.00035806,86.08431354,86.08431354,0.00019417,89.99987,89.99987,29.6691,6.56098E-05
0.7099996,B,0.7099996,0.07490733,0,0.4757165,0,2764.439,558.6469,1.530869,0,163.3775,185.7082,2.552082,126.9544987,126.9544987,0.00035958,87.35385849,87.35385849,0.000197765,89.99987,89.99987,30.54264,6.75695E-05
0.7199996,B,0.7199996,0.07601227,0,0.4701783,0,2765.22,558.5185,1.557965,0,163.3514,185.7082,2.555059,127.0345001,127.0345001,0.000361088,88.62420347,88.62420347,0.000201376,89.99987,89.99987,31.42888,6.95652E-05
0.7299996,B,0.7299996,0.0771179,0,0.4701914,0,2765.99,558.3901,1.603612,0,163.3254,185.7082,2.558036,127.1128146,127.1128146,0.000362579,89.89533159,89.89533159,0.000205002,89.99987,89.99987,32.32783,7.15971E-05
0.7399996,B,0.7399996,0.07822423,0,0.4701892,0,2766.76,558.2616,1.649893,0,163.2993,185.7082,2.561014,127.1912166,127.1912166,0.000364058,91.16724372,91.16724372,0.000208643,89.99986,89.99986,33.2395,7.36653E-05
0.7499996,B,0.7499996,0.07933124,0,0.4701727,0,2767.531,558.1331,1.696808,0,163.2733,185.7082,2.563991,127.2696027,127.2696027,0.000365525,92.43993972,92.43993972,0.000212298,89.99986,89.99986,34.1639,7.577E-05
0.7599996,B,0.7599996,0.08043896,0,0.4701428,0,2768.302,558.0046,1.744356,0,163.2472,185.7082,2.566968,127.3479987,127.3479987,0.000366979,93.71341968,93.71341968,0.000215968,89.99986,89.99986,35.10104,7.79114E-05
0.7699996,B,0.7699996,0.08154734,0,0.4701,0,2769.073,557.8761,1.792537,0,163.2212,185.7082,2.569946,127.4264026,127.4264026,0.000368422,94.98768368,94.98768368,0.000219652,89.99986,89.99986,36.05091,8.00895E-05
0.7799996,B,0.7799996,0.08265645,0,0.4700452,0,2769.833,557.7475,1.841352,0,163.1951,185.7082,2.572923,127.5042225,127.5042225,0.000369852,96.26272587,96.26272587,0.00022335,89.99986,89.99986,37.01354,8.23045E-05
0.7899995,B,0.7899995,0.08376622,0,0.469979,0,2770.594,557.6189,1.890799,0,163.1691,185.7082,2.5759,127.582084,127.582084,0.000371271,97.53854669,97.53854669,0.000227063,89.99986,89.99986,37.98893,8.45565E-05
0.7999995,B,0.7999995,0.08487669,0,0.4699022,0,2771.354,557.4902,1.940879,0,163.143,185.7082,2.578877,127.6599853,127.6599853,0.000372679,98.81514651,98.81514651,0.00023079,89.99986,89.99986,38.97708,8.68458E-05
0.8099995,B,0.8099995,0.08598785,0,0.4698153,0,2772.115,557.3616,1.991592,0,163.117,185.7082,2.581855,127.7377992,127.7377992,0.000374076,100.0925245,100.0925245,0.000234531,89.99986,89.99986,39.978,8.91724E-05
0.8199995,B,0.8199995,0.08709969,0,0.4697188,0,2772.876,557.2328,2.042937,0,163.0909,185.7082,2.584832,127.8157024,127.8157024,0.000375463,101.3706815,101.3706815,0.000238285,89.99986,89.99986,40.99171,9.15365E-05
0.8299995,B,0.8299995,0.08821223,0,0.4696133,0,2773.626,557.1041,2.094915,0,163.0649,185.7082,2.587809,127.8929997,127.8929997,0.000376839,102.6496114,102.6496114,0.000242054,89.99986,89.99986,42.01821,9.39382E-05
0.8399995,B,0.8399995,0.08932545,0,0.4694993,0,2774.377,556.9753,2.147524,0,163.0388,185.7082,2.590786,127.9703129,127.9703129,0.000378204,103.9293145,103.9293145,0.000245836,89.99986,89.99986,43.0575,9.63776E-05
0.8499995,B,0.8499995,0.09043934,0,0.4693773,0,2775.128,556.8465,2.200765,0,163.0128,185.7082,2.593764,128.0476797,128.0476797,0.00037956,105.2097913,105.2097913,0.000249631,89.99986,89.99986,44.1096,9.8855E-05
0.8599995,B,0.8599995,0.09155394,0,0.4692477,0,2775.879,556.7177,2.254638,0,162.9867,185.7082,2.596741,128.1250009,128.1250009,0.000380906,106.4910413,106.4910413,0.00025344,89.99986,89.99986,45.17451,0.00010137
0.8699995,B,0.8699995,0.09266921,0,0.4691109,0,2776.63,556.5887,2.309143,0,162.9607,185.7082,2.599718,128.2023776,128.2023776,0.000382243,107.773065,107.773065,0.000257263,89.99986,89.99986,46.25224,0.000103924
0.8799995,B,0.8799995,0.09378517,0,0.4689674,0,2777.371,556.4598,2.36428,0,162.9346,185.7082,2.602695,128.2791127,128.2791127,0.000383569,109.0558561,109.0558561,0.000261098,89.99986,89.99986,47.3428,0.000106516
0.8899994,B,0.8899994,0.09490181,0,0.4688175,0,2778.111,556.3309,2.420048,0,162.9086,185.7082,2.605673,128.3559152,128.3559152,0.000384886,110.3394153,110.3394153,0.000264947,89.99986,89.99986,48.44619,0.000109146
0.8999994,B,0.8999994,0.09601913,0,0.4686615,0,2778.852,556.2018,2.476449,0,162.8825,185.7082,2.60865,128.4327138,128.4327138,0.000386194,111.6237424,111.6237424,0.000268809,89.99986,89.99986,49.56243,0.000111815
0.9099994,B,0.9099994,0.09713712,0,0.4684999,0,2779.593,556.0728,2.533479,0,162.8565,185.7082,2.611627,128.5095641,128.5095641,0.000387494,112.908838,112.908838,0.000272684,89.99986,89.99986,50.69152,0.000114522
0.9199994,B,0.9199994,0.09825579,0,0.464442,0,2780.334,555.9437,2.569614,0,162.8304,185.7082,2.614604,128.5877018,128.5877018,0.000388789,114.194715,114.194715,0.000276572,89.99986,89.99986,51.83347,0.000117268
0.9299994,B,0.9299994,0.09937517,0,0.465316,0,2781.064,555.8146,2.633337,0,162.8044,185.7082,2.617582,128.6635845,128.6635845,0.000390069,115.4813508,115.4813508,0.000280473,89.99986,89.99986,52.98828,0.000120054
0.9399994,B,0.9399994,0.1004952,0,0.4661615,0,2781.795,555.6855,2.697816,0,162.7783,185.7082,2.620559,128.7395029,128.7395029,0.000391342,116.7687458,116.7687458,0.000284386,89.99986,89.99986,54.15596,0.000122878
0.9499994,B,0.9499994,0.1016159,0,0.4669796,0,2782.526,555.5563,2.76305,0,162.7522,185.7082,2.623536,128.8154929,128.8154929,0.000392607,118.0569007,118.0569007,0.000288312,89.99986,89.99986,55.33653,0.000125741
0.9599994,B,0.9599994,0.1027373,0,0.4677713,0,2783.257,555.4271,2.829041,0,162.7262,185.7082,2.626513,128.8913994,128.8913994,0.000393864,119.3458146,119.3458146,0.000292251,89.99986,89.99986,56.52999,0.000128644
0.9699994,B,0.9699994,0.1038594,0,0.4685375,0,2783.988,555.2979,2.895789,0,162.7001,185.7082,2.629491,128.9673874,128.9673874,0.000395113,120.6354885,120.6354885,0.000296202,89.99986,89.99986,57.73635,0.000131587
0.9799994,B,0.9799994,0.1049821,0,0.4692791,0,2784.708,555.1686,2.963293,0,162.6741,185.7082,2.632468,129.0426839,129.0426839,0.000396353,121.9259153,121.9259153,0.000300166,89.99986,89.99986,58.9556,0.000134568
0.9899994,B,0.9899994,0.1061055,0,0.469997,0,2785.429,555.0392,3.031554,0,162.648,185.7082,2.635445,129.1180818,129.1180818,0.000397586,123.2170961,123.2170961,0.000304141,89.99986,89.99986,60.18777,0.00013759
0.9999993,B,0.9999993,0.1072296,0,0.4706921,0,2786.15,554.9099,3.100571,0,162.622,185.7082,2.638422,129.1934022,129.1934022,0.000398812,124.5090301,124.5090301,0.00030813,89.99986,89.99986,61.43287,0.000140651
1.009999,B,1.009999,0.1083544,0,0.4713651,0,2786.871,554.7805,3.170345,0,162.5959,185.7082,2.6414,129.2688061,129.2688061,0.00040003,125.8017181,125.8017181,0.00031213,89.99986,89.99986,62.69088,0.000143753
1.019999,B,1.019999,0.1094798,0,0.4720167,0,2787.592,554.6511,3.240874,0,162.5699,185.7082,2.644377,129.3441762,129.3441762,0.000401242,127.0951599,127.0951599,0.000316142,89.99986,89.99986,63.96183,0.000146894
1.029999,B,1.029999,0.1106059,0,0.4726477,0,2788.302,554.5217,3.31216,0,162.5438,185.7082,2.647354,129.4189899,129.4189899,0.000402445,128.3893497,128.3893497,0.000320167,89.99986,89.99986,65.24573,0.000150075
1.039999,B,1.039999,0.1117326,0,0.4732588,0,2789.013,554.3922,3.384204,0,162.5178,185.7082,2.650331,129.4936944,129.4936944,0.000403641,129.6842866,129.6842866,0.000324203,89.99986,89.99986,66.54257,0.000153297
1.049999,B,1.049999,0.11286,0,0.4738506,0,2789.724,554.2627,3.457004,0,162.4917,185.7082,2.653309,129.5684963,129.5684963,0.000404831,130.9799716,130.9799716,0.000328251,89.99986,89.99986,67.85237,0.00015656
1.059999,B,1.059999,0.1139881,0,0.4744238,0,2790.435,554.1332,3.530561,0,162.4657,185.7082,2.656286,129.6432981,129.6432981,0.000406014,132.2764045,132.2764045,0.000332312,89.99986,89.99986,69.17513,0.000159862
1.069999,B,1.069999,0.1151169,0,0.4749791,0,2791.146,554.0036,3.604875,0,162.4396,185.7082,2.659263,129.718096,129.718096,0.000407191,133.5735855,133.5735855,0.000336383,89.99986,89.99986,70.51087,0.000163206
1.079999,B,1.079999,0.1162463,0,0.4755169,0,2791.846,553.874,3.679947,0,162.4136,185.7082,2.662241,129.7922998,129.7922998,0.000408359,134.8715084,134.8715084,0.000340467,89.99986,89.99986,71.85959,0.00016659
1.089999,B,1.089999,0.1173763,0,0.4760378,0,2792.547,553.7444,3.755775,0,162.3875,185.7082,2.665218,129.8664976,129.8664976,0.000409522,136.1701734,136.1701734,0.000344562,89.99986,89.99986,73.22129,0.000170015
1.099999,B,1.099999,0.1185071,0,0.4765425,0,2793.248,553.6147,3.832361,0,162.3615,185.7082,2.668195,129.9406856,129.9406856,0.000410679,137.4695802,137.4695802,0.000348669,89.99986,89.99986,74.59599,0.000173481
1.109999,B,1.109999,0.1196385,0,0.4770314,0,2793.948,553.485,3.909703,0,162.3354,185.7082,2.671172,130.0148735,130.0148735,0.000411829,138.7697289,138.7697289,0.000352787,89.99986,89.99986,75.98368,0.000176989
1.119999,B,1.119999,0.1207705,0,0.477505,0,2794.649,553.3553,3.987805,0,162.3094,185.7082,2.67415,130.0890952,130.0890952,0.000412974,140.0706198,140.0706198,0.000356917,89.99986,89.99986,77.38438,0.000180537
1.129999,B,1.129999,0.1219033,0,0.4779639,0,2795.339,553.2255,4.066662,0,162.2833,185.7082,2.677127,130.1627049,130.1627049,0.000414111,141.3722468,141.3722468,0.000361058,89.99986,89.99986,78.7981,0.000184127
1.139999,B,1.139999,0.1230366,0,0.4784083,0,2796.03,553.0957,4.146278,0,162.2573,185.7082,2.680104,130.2362968,130.2362968,0.000415242,142.6746098,142.6746098,0.000365211,89.99986,89.99986,80.22485,0.000187758
1.149999,B,1.149999,0.1241707,0,0.478839,0,2796.72,552.9659,4.226654,0,162.2312,185.7082,2.683081,130.3099185,130.3099185,0.000416368,143.9777089,143.9777089,0.000369374,89.99986,89.99986,81.66462,0.000191431
