t,Mach Number,cg (in),cp (in)
1.04,0.1162824489144251,159.50216770324394,182.88634845931156
1.05,0.1174446313490457,159.48738062730604,182.88884449663706
1.06,0.11860749858272718,159.47258290114587,182.89133324257892
1.07,0.11977104971928762,159.45777509086938,182.89381466558493
1.08,0.12093528386254515,159.44295571308916,182.896288734352
1.09,0.12210020011631789,159.4281262141283,182.8987554178273
1.1,0.12326579758442392,159.41328614897057,182.90121468521005
1.11,0.12443207537068138,159.39843496592235,182.90366650595362
1.12,0.12559903257890834,159.3835737022568,182.9061108497677
1.1300000000000001,0.12676666831292296,159.3687013564559,182.90854768661939
1.1400000000000001,0.12793498167654332,159.35381841517392,182.91097698673545
1.1500000000000001,0.12910397177358754,159.33892539528264,182.91339872060362
1.16,0.13027363770687148,159.32402078210876,182.91581285897325
1.17,0.13144397854031967,159.30910609132812,182.91821937277774
1.18,0.1326149932873753,159.29418081377452,182.92061823311465
1.19,0.133786680958112,159.27924445714913,182.9230094113453
1.2,0.1349590405626033,159.26429802599105,182.9253928791029
1.21,0.13613207111092276,159.24934050377078,182.92776860829434
1.22,0.13730577161314395,159.23437241392247,182.93013657110131
1.23,0.13848014107934042,159.2193942424198,182.93249673998204
1.24,0.13965517851958575,159.204404499208,182.9348490876717
1.25,0.14083088294395352,159.18940468590569,182.93719358718502
1.26,0.14200725336251724,159.17439429338904,182.93953021181662
1.27,0.1431842887853505,159.1593728343089,182.94185893514273
1.28,0.14436198822252685,159.14434130771284,182.9441797310212
1.29,0.14554035068411988,159.12929870896383,182.94649257359418
1.3,0.14671937518020314,159.11424554443724,182.94879743728833
1.31,0.14789906072085018,159.0991823151009,182.95109429681597
1.32,0.1490794063161346,159.0841075252601,182.95338312717539
1.33,0.15026041097612994,159.06902266610345,182.95566390365315
1.34,0.15144207371090973,159.05392726256287,182.95793660182383
1.35,0.15262439353054758,159.03882077954452,182.96020119755124
1.36,0.15380736944511703,159.02370423697076,182.96245766698922
1.37,0.15499100046469164,159.00857666812635,182.9647059865821
1.3800000000000001,0.156175285599345,158.99343851024034,182.96694613306596
1.3900000000000001,0.15736022385915063,158.97829029586072,182.9691780834686
1.4000000000000001,0.15854581425418213,158.96313057780895,182.9714018151107
1.41,0.15973205579451302,158.947960756933,182.97361730560627
1.42,0.1609189474902169,158.93278045291024,182.9758245328626
1.43,0.16210648835136734,158.917589031963,182.97802347508116
1.44,0.1632946773880379,158.90238756037655,182.98021411075885
1.45,0.1644835136103021,158.8871751345094,182.98239641868673
1.46,0.16567299602823357,158.8719520721127,182.98457037795157
1.47,0.1668631236519058,158.8567189624988,182.98673596793532
1.48,0.1680538954913924,158.84147443185373,182.98889316831674
1.49,0.16924531055676692,158.82621974096062,182.99104195906952
1.5,0.17043736785810293,158.81095465369725,182.99318232046454
1.51,0.17163006640547399,158.79567838842286,182.9953142330687
1.52,0.17282340520895365,158.78039208239326,182.997437677745
1.53,0.1740173832786155,158.7650949193131,182.99955263565369
1.54,0.17521199962453304,158.7497870488844,183.00165908825073
1.55,0.17640725325677992,158.734469141487,183.00375701728956
1.56,0.17760314318542963,158.7191399206406,183.00584640481875
1.57,0.17879966842055578,158.70380045909997,183.00792723318426
1.58,0.1799968279722319,158.6884507126359,183.00999948502738
1.59,0.18119462085053156,158.6730897043292,183.0120631432861
1.6,0.18239304606552836,158.65771866613105,183.01411819119306
1.61,0.1835921026272958,158.64233689248334,183.01616461227744
1.62,0.18479178954590753,158.62694431823215,183.0182023903629
1.6300000000000001,0.185992105831437,158.6115417182451,183.02023150956768
1.6400000000000001,0.18719305049395785,158.5961279364627,183.02225195430495
1.6500000000000001,0.18839462254354364,158.5807038114128,183.02426370928168
1.6600000000000001,0.1895968209902679,158.56526953668552,183.02626675949833
1.67,0.1907996448442042,158.54982389443575,183.02826109024835
1.68,0.1920030931154261,158.53436823415046,183.0302466871181
1.69,0.1932071648140072,158.5189019835161,183.03222353598554
1.7,0.19441185895002105,158.50342481748444,183.03419162302026
1.71,0.1956171745335412,158.4879376379464,183.03615093468278
1.72,0.1968231105746412,158.47243943146674,183.03810145772354
1.73,0.19802966608339462,158.45693075791678,183.04004317918293
1.74,0.19923684006987502,158.44141207553002,183.04197608638998
1.75,0.20044463154415598,158.42588193365475,183.04390016696172
1.76,0.20165303951631108,158.41034176927283,183.04581540880307
1.77,0.20286206299641385,158.39479118226865,183.04772180010497
1.78,0.2040717009945378,158.37922954443388,183.0496193293449
1.79,0.20528195252075662,158.3636579063311,183.05150798528462
1.8,0.2064928165851438,158.34807541846723,183.0533877569706
1.81,0.20770429219777287,158.33248231940007,183.0552586337329
1.82,0.20891637836871746,158.31687922511435,183.05712060518331
1.83,0.2101290741080511,158.30126485787352,183.05897366121624
1.84,0.21134237842584733,158.2856403153978,183.06081779200545
1.85,0.21255629033200238,158.2700055397782,183.0626529880053
1.86,0.21377080880446678,158.25435955815644,183.0644792399007
1.87,0.21498593275251368,158.23870359052628,183.06629653855313
1.8800000000000001,0.21620166107651334,158.2230369717676,183.06810487509043
1.8900000000000001,0.21741799267683598,158.2073595782437,183.0699042409208
1.9000000000000001,0.2186349264538519,158.19167220414545,183.0716946277303
1.9100000000000001,0.21985246130793137,158.1759737647781,183.0734760274825
1.92,0.2210705961394446,158.16026497832803,183.0752484324177
1.93,0.2222893298487619,158.14454616908753,183.07701183505134
1.94,0.22350866133625352,158.12881597983778,183.0787662281735
1.95,0.22472858950228974,158.11307581987325,183.08051160484737
1.96,0.2259491132472408,158.09732522798825,183.0822479584085
1.97,0.22717023147147694,158.0815636792502,183.0839752824637
1.98,0.22839194307536848,158.06579216562042,183.0856935708904
1.99,0.22961424695928562,158.05000981468402,183.08740281783494
2.0,0.23083714202359865,158.03421692660038,183.0891030177114
2.0100000000000002,0.23206062716867787,158.0184140795944,183.0907941652019
2.02,0.23328470129489343,158.00259999360642,183.0924762552539
2.0300000000000002,0.23450936330261574,157.986775786761,183.0941492830804
2.04,0.2357346120922149,157.97094138690125,183.09581324415836
2.05,0.2369604465640613,157.95509583047905,183.09746813422768
