Name,Type,Stage,Parent,Mass,Length,Local_CG,Position,MOI,Sim Sec,Event 1,Event 2,Event 3,Event 4,Event 5,Event 6
"U-Bolt, Interstage Plate",Other,2,Interstage Tube,0.068038856,0.0762,0.0381,3.18135,0.70694111,4,1,,,1,,
"Standard Bolt Ring, Interstage Plate",Bolt Ring,2,Interstage Tube,0.015875733,0.00508,0.00254,3.18516,0.161369993,4,1,,,1,,
"Interstage Avionics Plate, Al",Other,2,Interstage Tube,0.376481667,0.0254,0.0127,3.2004,3.89047411,4,1,,,1,,
Flame Protector,Other,2,Interstage Tube,0.085048569,0.0508,0.0254,3.2004,0.88650578,4,1,,,1,,
Booster Fin Can,Airframe,2,Booster Fin Can,5.13693359,1.8796,0.9398,3.2258,87.82575091,,1,,,1,,
"Booster Parachute, 4ft",Other,2,Interstage Tube,0.485343836,0.1651,0.08255,3.25755,5.438730482,x,1,,,1,,
Booster Shear Pin Ring,Bolt Ring,2,Booster Fin Can,0.004,0,0,3.3528,0.044970878,5,1,,,1,,
Booster Shock Cord,Other,2,Interstage Tube,0.45359237,0.0508,0.0254,3.42265,5.400827686,5,1,,,1,,
Forged Eyebolt,Other,2,Booster Fin Can,0.136077711,0.127,0.0635,3.4671,1.701636103,5,1,,,1,,
400 mAh Batteries,Other,2,Booster Fin Can,0.045359237,0.0254,0.0127,3.4671,0.549697897,5,1,,,1,,
Power Management Board,Other,2,Booster Fin Can,0.045359237,0.00762,0.00381,3.48488,0.552245751,5,1,,,1,,
"G10 Cover Plate, Booster",Other,2,Booster Fin Can,0.063502932,0.002413,0.0012065,3.5052,0.780904503,5,1,,,1,,
Booster Motor Mount,Other,2,Booster Fin Can,0.680388555,0.0254,0.0127,3.5306,8.548899189,5,1,,,1,,
"Standard Bolt Ring, Booster Motor Mount",Bolt Ring,2,Booster Fin Can,0.015875733,0.00508,0.00254,3.54076,0.199369252,5,1,,,1,,
Booster Motor,Motor,2,Booster Fin Can,15.05473076,1.5494,0.884682,3.556,292.8876945,x,1,,,1,,
Booster Propellant,Propellant,2,Booster Fin Can,21.86315223,1.27635,0.638175,3.6449,401.5019936,x,a,,,,,
Booster Fin Set,Fins,2,Booster Fin Can,1.315417873,0.508,0.2032,4.5593,30.00584454,x,1,,,1,,
